mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,name,origin
39.1,4.0,79.0,58.0,1755.0,16.9,81.0,toyota starlet,japan
39.0,4.0,86.0,64.0,1875.0,16.4,81.0,plymouth champ,usa
35.1,4.0,81.0,60.0,1760.0,16.1,81.0,honda civic 1300,japan
32.3,4.0,97.0,67.0,2065.0,17.8,81.0,subaru,japan
37.0,4.0,85.0,65.0,1975.0,19.4,81.0,datsun 210 mpg,japan
37.7,4.0,89.0,62.0,2050.0,17.3,81.0,toyota tercel,japan
34.1,4.0,91.0,68.0,1985.0,16.0,81.0,mazda glc 4,japan
34.7,4.0,105.0,63.0,2215.0,14.9,81.0,plymouth horizon 4,usa
34.4,4.0,98.0,65.0,2045.0,16.2,81.0,ford escort 4w,usa
29.9,4.0,98.0,65.0,2380.0,20.7,81.0,ford escort 2h,usa
33.0,4.0,105.0,74.0,2190.0,14.2,81.0,volkswagen jetta,europe
34.5,4.0,100.0,0.0,2320.0,15.8,81.0,renault 18i,europe
33.7,4.0,107.0,75.0,2210.0,14.4,81.0,honda prelude,japan
32.4,4.0,108.0,75.0,2350.0,16.8,81.0,toyota corolla,japan
32.9,4.0,119.0,100.0,2615.0,14.8,81.0,datsun 200sx,japan
31.6,4.0,120.0,74.0,2635.0,18.3,81.0,mazda 626,japan
28.1,4.0,141.0,80.0,3230.0,20.4,81.0,peugeot 505s turbo diesel,europe
30.7,6.0,145.0,76.0,3160.0,19.6,81.0,volvo diesel,europe
25.4,6.0,168.0,116.0,2900.0,12.6,81.0,toyota cressida,japan
24.2,6.0,146.0,120.0,2930.0,13.8,81.0,datsun 810 maxima,japan
22.4,6.0,231.0,110.0,3415.0,15.8,81.0,buick century,usa
26.6,8.0,350.0,105.0,3725.0,19.0,81.0,oldsmobile cutlass ls,usa
20.2,6.0,200.0,88.0,3060.0,17.1,81.0,ford granada gl,usa
17.6,6.0,225.0,85.0,3465.0,16.6,81.0,chrysler lebaron salon,usa
28.0,4.0,112.0,88.0,2605.0,19.6,82.0,chevrolet cavalier,usa
27.0,4.0,112.0,88.0,2640.0,18.6,82.0,chevrolet cavalier wagon,usa
34.0,4.0,112.0,88.0,2395.0,18.0,82.0,chevrolet cavalier 2-door,usa
31.0,4.0,112.0,85.0,2575.0,16.2,82.0,pontiac j2000 se hatchback,usa
29.0,4.0,135.0,84.0,2525.0,16.0,82.0,dodge aries se,usa
27.0,4.0,151.0,90.0,2735.0,18.0,82.0,pontiac phoenix,usa
24.0,4.0,140.0,92.0,2865.0,16.4,82.0,ford fairmont futura,usa
23.0,4.0,151.0,0.0,3035.0,20.5,82.0,amc concord dl,usa
36.0,4.0,105.0,74.0,1980.0,15.3,82.0,volkswagen rabbit l,europe
37.0,4.0,91.0,68.0,2025.0,18.2,82.0,mazda glc custom l,japan
31.0,4.0,91.0,68.0,1970.0,17.6,82.0,mazda glc custom,japan
38.0,4.0,105.0,63.0,2125.0,14.7,82.0,plymouth horizon miser,usa
36.0,4.0,98.0,70.0,2125.0,17.3,82.0,mercury lynx l,usa
36.0,4.0,120.0,88.0,2160.0,14.5,82.0,nissan stanza xe,japan
36.0,4.0,107.0,75.0,2205.0,14.5,82.0,honda accord,japan
34.0,4.0,108.0,70.0,2245.0,16.9,82.0,toyota corolla,japan
38.0,4.0,91.0,67.0,1965.0,15.0,82.0,honda civic,japan
32.0,4.0,91.0,67.0,1965.0,15.7,82.0,honda civic (auto),japan
38.0,4.0,91.0,67.0,1995.0,16.2,82.0,datsun 310 gx,japan
25.0,6.0,181.0,110.0,2945.0,16.4,82.0,buick century limited,usa
38.0,6.0,262.0,85.0,3015.0,17.0,82.0,oldsmobile cutlass ciera (diesel),usa
26.0,4.0,156.0,92.0,2585.0,14.5,82.0,chrysler lebaron medallion,usa
22.0,6.0,232.0,112.0,2835.0,14.7,82.0,ford granada l,usa
32.0,4.0,144.0,96.0,2665.0,13.9,82.0,toyota celica gt,japan
36.0,4.0,135.0,84.0,2370.0,13.0,82.0,dodge charger 2.2,usa
27.0,4.0,151.0,90.0,2950.0,17.3,82.0,chevrolet camaro,usa
27.0,4.0,140.0,86.0,2790.0,15.6,82.0,ford mustang gl,usa
44.0,4.0,97.0,52.0,2130.0,24.6,82.0,vw pickup,europe
32.0,4.0,135.0,84.0,2295.0,11.6,82.0,dodge rampage,usa
28.0,4.0,120.0,79.0,2625.0,18.6,82.0,ford ranger,usa
31.0,4.0,119.0,82.0,2720.0,19.4,82.0,chevy s-10,usa
